2019/09/26 14:25:35 INFO  : Form QC/8. From ghi chép lỗi phát sinh trên line.xlsx: Copied (new)
2019/09/26 14:25:35 INFO  : Form QC/3. Form sổ bàn giao.xlsx: Copied (new)
2019/09/26 14:25:35 INFO  : Form QC/14. Biểu mẫu lịch sử sửa đổi - REV History Form.xlsx: Copied (new)
2019/09/26 14:25:35 INFO  : Form QC/BẢNG THEO DÕI PHÉP NĂM 2019.xlsx: Copied (new)
2019/09/26 14:25:36 INFO  : Form QC/Form sổ bàn giao.pdf: Copied (new)
2019/09/26 14:25:36 INFO  : Form QC/Thumbs.db: Copied (new)
2019/09/26 14:25:36 INFO  : Form QC/9. Phiếu Yêu Cầu Mua Văn Phòng Phẩm.xlsx: Copied (new)
2019/09/26 14:25:38 INFO  : Rclone/backup.log: Copied (new)
2019/09/26 14:25:38 INFO  : Form QC/Thông tin liên hệ NCC.xlsx: Copied (new)
2019/09/26 14:25:38 INFO  : 0000002 - 6215112/~$0000002.xlsx: Copied (new)
2019/09/26 14:25:38 INFO  : 0000002 - 6215112/0000002 - IIS.xlsx: Copied (new)
2019/09/26 14:25:38 INFO  : Rclone/null: Copied (new)
2019/09/26 14:25:38 INFO  : 0000002 - 6215112/Thumbs.db: Copied (new)
2019/09/26 14:25:38 INFO  : 0000002 - 6215112/0000002 - MS.xlsx: Copied (new)
2019/09/26 14:25:38 INFO  : Rclone/Schedule.cmd: Copied (new)
2019/09/26 14:25:38 INFO  : Rclone/run.cmd: Copied (new)
2019/09/26 14:25:38 INFO  : Cargo/Containers.xls: Copied (new)
2019/09/26 14:25:38 INFO  : Rclone/rclone.1: Copied (new)
2019/09/26 14:25:38 INFO  : Cargo/Capture.JPG: Copied (new)
2019/09/26 14:25:38 INFO  : Cargo/Cargos.xls: Copied (new)
2019/09/26 14:25:38 INFO  : 0000002 - 6215112/02.JPG: Copied (new)
2019/09/26 14:25:39 INFO  : Cargo/Customers.xls: Copied (new)
